PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.817 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=8.78 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=7.43 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=9.65 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=9.01 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=8.49 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=9.81 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=5.95 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=16.3 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=9.68 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=5.60 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.150 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=18.6 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=7.67 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=9.76 ms
